Music_Title,Drum_Kick,Drum_Snare,Drum_HiHat,Drum_Cymbals,Drum_Overheads,Drum_Tom,Drum_Room,Percussion,Bass,Acoustic_Guitar,Electric_Guitar,Piano,Electric_Piano,Brass,String,WoodWind,Other,Lead_Vocal,Backing_Vocal,Unused,Vocal_Quality
1 Of The First,"['01_KickMic1.wav', '02_KickMic2.wav', '03_KickMic3.wav']","['04_SnareUp.wav', '05_SnareDown.wav']",['06_HiHat.wav'],[],['07_Overheads.wav'],"['09_Tom1.wav', '10_Tom2.wav', '11_Tom3.wav']",['08_DrumsRoom.wav'],[],"['15_Bass1.wav', '16_Bass2.wav', '17_Bass3.wav']","['12_AcousticGtrMic1.wav', '13_AcousticGtrMic2.wav']",['14_ElecGtr.wav'],['30_Piano.wav'],[],"['18_Sax1Mic1.wav', '19_Sax1Mic2.wav', '20_Sax1Mic3.wav', '21_Sax2Mic1.wav', '22_Sax2Mic2.wav', '23_Sax2Mic3.wav', '24_Sax3Mic1.wav', '25_Sax3Mic2.wav', '26_Sax3Mic3.wav', '27_Sax4Mic1.wav', '28_Sax4Mic2.wav', '29_Sax4Mic3.wav']",[],[],[],[],[],[],0
21 Grams,['01_Kick.wav'],['02_Snare.wav'],['03_HiHat.wav'],[],['06_Overheads.wav'],"['04_Tom1.wav', '05_Tom2.wav']",['07_DrumsRoom.wav'],[],['08_Bass.wav'],[],"['09_ElecGtrDI1.wav', '10_ElecGtrDI2.wav', '11_ElecGtrDI3.wav', '12_ElecGtrDI4.wav', '13_ElecGtrDI5.wav']",[],[],[],[],[],['14_Hammond.wav'],"['15_LeadVox1.wav', '16_LeadVox1DT.wav', '17_LeadVox2.wav', '18_LeadVox2DT.wav']","['19_BackingVox1.wav', '20_BackingVox1DT.wav', '21_BackingVox2.wav', '22_BackingVox3.wav']",[],1
4 Out Of 10,"['Drums-Kick In-M82.wav', 'Drums-Kick Out-Cu29.wav']","['Drums-Snare Bottom-M80.wav', 'Drums-Snare Top-M60.wav']",['Drums-Hat-M60.wav'],[],['Drums-Overhead-Ar51.wav'],"['Drums-Floor Tom-M82.wav', 'Drums-Tom1-M81.wav']",['Room-U47.wav'],[],['Bass-DI.wav'],[],"['Guitar-Condenser Jon-Cu29.wav', 'Guitar-Condenser Tory-Cu29.wav', 'Guitar-Dynamic Jon-M81.wav', 'Guitar-Dynamic Tory-M80sh.wav']",[],[],"['Horns-Bone-M82.wav', 'Horns-Trumpet-M81sh.wav']",[],[],['Chamber-Ar70.wav'],['Vocals-Main-M80.wav'],[],[],0
54,['01_Kick.wav'],"['02_SnareUp.wav', '03_SnareDown.wav', '04_SnareSample.wav']",['05_HiHat.wav'],[],['06_Overheads.wav''],"['08_Tom1.wav', '09_Tom2.wav']",['07_DrumsRoom.wav'],"['10_DjembeMic1.wav', '11_DjembeMic2.wav', '12_DjembeMic3.wav', '13_DjembeMic4.wav', '14_Tambourine.wav', '15_Shaker.wav', '16_HandDrum1Mic1.wav', '17_HandDrum1Mic2.wav', '18_HandDrum1Mic3.wav', '19_HandDrum2.wav, '20_Claps1Near.wav', '21_Claps1Far.wav', '22_Claps2Near.wav', '23_Claps2Far.wav', '24_Claps3Near.wav', '25_Claps3Far.wav', '26_Cowbell1Near.wav', '27_Cowbell1Far.wav', '28_Cowbell2Near.wav', '29_Cowbell2Far.wav', '30_Anvil.wav', '31_WoodblockClose.wav', '32_WoodblockFar.wav', '33_MarimbaNear.wav', '34_MarimbaFar.wav']",['35_Bass.wav'],"['36_AcGtrMic1.wav', '37_AcGtrMic2.wav', '38_AcGtrMic3.wav']","['46_ElecGtrReverse1.wav', '47_ElecGtrReverse2.wav', '48_ElecGtrReverse3.wav']",[],[],"['39_Trumpet.wav', '40_Trumpet.wav', '41_Trumpet.wav', '42_Trumpet.wav', '43_Trumpet.wav', '44_TrumpetSFX.wav', '45_Tuba.wav']",[],[],"['49_SynthReverse1.wav', '50_SynthReverse2.wav', '51_Synth1.wav', '52_Synth2.wav', '53_Synth3.wav', '54_Synth4.wav', '55_GlitchSFX.wav']",['56_LeadVox.wav'],"['57_BackingVox1.wav', '58_BackingVox2.wav', '59_BackingVox3.wav', '60_BackingVox4.wav', '61_BackingVox5.wav', '62_BackingVox6.wav', '63_BackingVox7.wav']",[],1
5th Floor,[],[],[],['03_Cymbals.wav'],[],['02_Toms.wav'],[],"['01_Loops.wav', '04_Percussion.wav']",['05_Bass.wav'],[],['07_ElecGtr.wav'],[],['06_ElecPiano.wav'],[],[],[],"['08_Synth1.wav', '09_Synth2.wav', '10_Synth3.wav']",[],[],[],0
64 Bristol,"['01_Drumkit1_KickIn.wav', '02_Drumkit1_KickSub.wav']","['03_Drumkit1_SnareUp.wav', '04_Drumkit1_SnareDown.wav']",['05_Drumkit1_HiHat.wav'],[],"['08_Drumkit1_Overheads.wav', '12_Drumkit2_SFX.wav', '13_Drumkit2_Close.wav', '14_Drumkit2_Far.wav']","['06_Drumkit1_Tom1.wav', '07_Drumkit1_Tom2.wav']","['09_Drumkit1_RoomStereo.wav', '10_Drumkit1_RoomMono1.wav', '11_Drumkit1_RoomMono2.wav']","['15_Sticks1.wav', '16_Sticks2.wav']","['17_BassDI.wav', '18_BassAmp.wav']",[],"['19_ElecGtr01Mic1.wav', '20_ElecGtr01Mic2.wav', '21_ElecGtr02Mic1.wav', '22_ElecGtr02Mic2.wav', '23_Elec03Gtr.wav', '24_ElecGtr04.wav', '25_ElecGtr05.wav', '26_ElecGtr06Mic1.wav', '27_ElecGtr06Mic2.wav', '28_ElecGtr07Mic1.wav', '29_ElecGtr07Mic2.wav', '30_ElecGtr08Mic1.wav', '31_ElecGtr08Mic2.wav', '32_ElecGtr09Mic1.wav', '33_ElecGtr09Mic2.wav', '34_ElecGtr10.wav', '35_ElecGtr11Mic1.wav', '36_ElecGtr11Mic2.wav', '37_ElecGtr12Mic1.wav', '38_ElecGtr12Mic2.wav', '39_ElecGtr13.wav', '40_ElecGtr14.wav', '41_ElecGtr15Mic1.wav', '42_ElecGtr15Mic2.wav', '43_ElecGtr16.wav', '44_ElecGtr17.wav', '45_ElecGtr18.wav', '46_ElecGtr19Mic1.wav', '47_ElecGtr19Mic2.wav', '48_ElecGtr20.wav', '49_ElecGtr21.wav', '50_ElecGtr22.wav', '51_ElecGtrSFX01.wav', '52_ElecGtrSFX02.wav', '53_ElecGtrSFX03.wav', '54_ElecGtrSFX04.wav', '55_ElecGtrSFX05Mic1.wav', '56_ElecGtrSFX05Mic2.wav', '57_ElecGtrSFX06Mic1.wav', '58_ElecGtrSFX06Mic2.wav']",[],['59_Rhodes.wav'],[],[],[],"['60_Bells.wav', '61_SFX1.wav', '62_SFX2.wav', '63_SFX3.wav', '64_SFX4Dry.wav', '65_SFX4Wet.wav', '66_SFX5.wav']",[],"['67_Vox1.wav', '68_Vox2.wav', '69_Vox3.wav', '70_Vox4.wav', '71_Vox5.wav', '72_Vox6.wav']",[],1
A Mi Lado,['01_Kick.wav'],['02_Snare.wav'],[],['05_Cymbals.wav'],[],"['03_Tom1.wav', '04_Tom2.wav']",[],"['06_Cowbell.wav', '07_Congas.wav', '08_Percussion.wav', '09_Guaracha.wav', '10_GuarachaCumbia.wav', '11_Paliteo.wav', '12_Guache.wav', '13_Llamador.wav']",['14_Bass.wav'],['24_AcousticGtr.wav'],"['15_ElecGtr1.wav', '16_ElecGtr1DI.wav', '17_ElecGtr2.wav', '18_ElecGtr2DI.wav', '19_ElecGtr3.wav', '20_ElecGtr3DI.wav', '21_ElecGtr4.wav', '22_ElecGtr5.wav', '23_ElecGtr6.wav']",[],['25_Organ.wav'],[],[],[],[],[],"['26_Vox1.wav', '27_Vox2.wav', '28_Vox3.wav', '29_Vox4.wav', '30_Vox5.wav', '31_Vox6.wav', '32_Vox7.wav', '33_Vox8.wav', '34_Vox9.wav']",[],1
A Place For Us,"['01_Drumkit1_KickIn.wav', '02_Drumkit1_KickOut1.wav', '12_Drumkit2_KickIn.wav', '13_Drumkit2_KickSub.wav']","['03_Drumkit1_SnareMic1.wav', '04_Drumkit1_SnareMic2.wav', '14_Drumkit2_SnareMic1.wav', '15_Drumkit2_SnareMic2.wav', '17_DrumSamples_Snare.wav']","['05_Drumkit1_Hihat.wav', '18_DrumSamples_HiHat.wav']",['19_DrumSamples_Cymbals.wav'],['16_Drumkit2_Overheads.wav'],"['06_Drumkit1_Tom1.wav', '07_Drumkit1_Tom2.wav', '08_Drumkit1_Tom3.wav', '20_DrumSamples_Toms.wav']","['09_Drumkit2_RoomMono1.wav', '10_Drumkit1_RoomMono2.wav', '11_Drumkit1_RoomStereo.wav']","['21_ElectroPercussion2.wav', '21_Taiko.wav', '22_Sticks.wav', '23_ElectroPercussion1.wav', '25_ElectroPercussion3.wav', '26_ElectroHit.wav']",['27_Bass.wav'],[],"['28_ElecGtr1.wav', '29_ElecGtr2.wav', '30_ElecGtr3.wav', '31_ElecGtr4.wav']",['32_Piano.wav'],[],[],"['36_Strings1_Staccato.wav', '37_Strings2_Ensemble.wav', '38_Strings3_Soli.wav']",[],"['33_Hammond.wav', '34_Synth.wav', '35_Mellotron.wav']","['39_LeadVox.wav', '40_LeadVoxDT.wav']","['41_BackingVox1.wav', '42_BackingVox2a.wav', '43_BackingVox2b.wav', '44_BackingVox2c.wav', '45_BackingVox2d.wav', '46_BackingVox3a.wav', '47_BackingVox3b.wav', '48_BackingVox3c.wav', '49_BackingVox3d.wav', '50_BackingVox4a.wav', '51_BackingVox4b.wav', '52_BackingVox4c.wav', '53_BackingVox4d.wav', '54_BackingVox4e.wav', '55_BackingVox4f.wav', '56_BackingVox5a.wav', '57_BackingVox5b.wav', '58_BackingVox5c.wav', '59_BackingVox5d.wav', '60_BackingVox6a.wav', '61_BackingVox6b.wav', '62_BackingVox7a.wav', '63_BackingVox7b.wav', '64_BackingVox7c.wav', '65_BackingVox7d.wav', '66_BackingVox7e.wav', '67_BackingVox7f.wav', '68_BackingVox8a.wav', '69_BackingVox8b.wav']",[],1
A Reason To Leave,"['01_KickIn.wav', '02_KickOut.wav', '03_KickSub.wav']","['04_SnareUpMic1.wav', '05_SnareUpMic2.wav', '06_SnareDown.wav']",['10_HiHat.wav'],['11_Cymbals.wav'],[],"['07_Tom1.wav', '08_Tom2.wav', '09_Tom3.wav']","['12_DrumsRoom1.wav', '13_DrumsRoom2.wav', '14_DrumsRoom3.wav', '15_DrumsRoom4.wav', '16_DrumsRoom5.wav']","['17_Tambourine1.wav', '18_Tambourine1Room.wav', '19_Tambourine2.wav']",['20_BassDI.wav'],[],"['21_ElecGtr01.wav', '22_ElecGtr02.wav', '23_ElecGtr03.wav', '24_ElecGtr04.wav', '25_ElecGtr05.wav', '26_ElecGtr06.wav', '27_ElecGtr07.wav', '28_ElecGtr08.wav']",[],"['29_Rhodes.wav', '30_ElecPiano.wav', '31_Vibrophone.wav']",[],[],[],[],"['32_LeadVox.wav', '33_LeadVoxDT.wav']","['34_BackingVox01.wav', '35_BackingVox02.wav', '36_BackingVox03.wav', '37_BackingVox04.wav', '38_BackingVox05.wav']",[],1
A Sailor Once More,[],[],[],[],['01_DrumKit.wav'],[],[],"['02_Percussion.wav', '03_Shaker.wav']",['04_Bass.wav'],"['05_AcousticGtr.wav', '06_AcousticGtr.wav', '07_AcousticGtr.wav']",['08_ElecGtr.wav'],['09_Piano.wav'],[],[],[],[],"['10_Low Whistle.wav', '11_BagpipeDrones.wav', '12_BagpipeChanter1.wav', '13_BagpipeChanter2.wav']",['14_LeadVox.wav'],"['15_BackingVox1.wav', '16_BackingVox2.wav', '17_BackingVox3.wav', '18_BackingVox4.wav', '19_BackingVox5.wav']",[],1
